geo,time,gender,life_expectancy
are,1964,female,58.942
are,1965,female,59.889
are,1966,female,60.808
are,1967,female,61.691
are,1968,female,62.53
are,1969,female,63.322
are,1970,female,64.065
are,1971,female,64.762
are,1972,female,65.419
are,1973,female,66.042
are,1974,female,66.636
are,1975,female,67.203
are,1976,female,67.743
are,1977,female,68.256
are,1978,female,68.745
are,1979,female,69.21
are,1980,female,69.652
are,1981,female,70.073
are,1982,female,70.473
are,1983,female,70.853
are,1984,female,71.214
are,1985,female,71.559
are,1986,female,71.887
are,1987,female,72.199
are,1988,female,72.498
are,1989,female,72.784
are,1990,female,73.061
are,1991,female,73.328
are,1992,female,73.587
are,1993,female,73.839
are,1994,female,74.088
are,1995,female,74.336
are,1996,female,74.587
are,1997,female,74.841
are,1998,female,75.1
are,1999,female,75.362
are,2000,female,75.624
are,2001,female,75.885
are,2002,female,76.139
are,2003,female,76.384
are,2004,female,76.618
are,2005,female,76.84
are,2006,female,77.049
are,2007,female,77.247
are,2008,female,77.436
are,2009,female,77.617
are,2010,female,77.792
are,2011,female,77.961
are,2012,female,78.126
are,2013,female,78.288
are,2014,female,78.448
are,2015,female,78.608
are,2016,female,78.767
arg,1960,female,68.154
arg,1961,female,68.362
arg,1962,female,68.536
arg,1963,female,68.685
arg,1964,female,68.82
arg,1965,female,68.958
arg,1966,female,69.111
arg,1967,female,69.289
arg,1968,female,69.495
arg,1969,female,69.733
arg,1970,female,70
arg,1971,female,70.291
arg,1972,female,70.593
arg,1973,female,70.896
arg,1974,female,71.196
arg,1975,female,71.494
arg,1976,female,71.793
arg,1977,female,72.097
arg,1978,female,72.407
arg,1979,female,72.718
arg,1980,female,73.022
arg,1981,female,73.308
arg,1982,female,73.571
arg,1983,female,73.806
arg,1984,female,74.016
arg,1985,female,74.206
arg,1986,female,74.387
arg,1987,female,74.569
arg,1988,female,74.762
arg,1989,female,74.969
arg,1990,female,75.191
arg,1991,female,75.426
arg,1992,female,75.666
arg,1993,female,75.905
arg,1994,female,76.142
arg,1995,female,76.377
arg,1996,female,76.611
arg,1997,female,76.844
arg,1998,female,77.079
arg,1999,female,77.313
arg,2000,female,77.544
arg,2001,female,77.769
arg,2002,female,77.987
arg,2003,female,78.194
arg,2004,female,78.392
arg,2005,female,78.581
arg,2006,female,78.761
arg,2007,female,78.936
arg,2008,female,79.107
arg,2009,female,79.275
arg,2010,female,79.439
arg,2011,female,79.599
arg,2012,female,79.752
arg,2013,female,79.899
arg,2014,female,80.04
arg,2015,female,80.177
arg,2016,female,80.31
arm,1960,female,69.057
arm,1961,female,69.481
arm,1962,female,69.908
arm,1963,female,70.336
arm,1964,female,70.761
arm,1965,female,71.182
arm,1966,female,71.597
arm,1967,female,72.002
arm,1968,female,72.389
arm,1969,female,72.748
arm,1970,female,73.063
arm,1971,female,73.317
arm,1972,female,73.503
arm,1973,female,73.623
arm,1974,female,73.683
arm,1975,female,73.706
arm,1976,female,73.725
arm,1977,female,73.76
arm,1978,female,73.818
arm,1979,female,73.885
arm,1980,female,73.917
arm,1981,female,73.849
arm,1982,female,73.643
arm,1983,female,73.287
arm,1984,female,72.805
arm,1985,female,72.251
arm,1986,female,71.7
arm,1987,female,71.232
arm,1988,female,70.908
arm,1989,female,70.755
arm,1990,female,70.782
arm,1991,female,70.969
arm,1992,female,71.26
arm,1993,female,71.607
arm,1994,female,71.985
arm,1995,female,72.38
arm,1996,female,72.787
arm,1997,female,73.21
arm,1998,female,73.643
arm,1999,female,74.07
arm,2000,female,74.469
arm,2001,female,74.817
arm,2002,female,75.106
arm,2003,female,75.335
arm,2004,female,75.509
arm,2005,female,75.642
arm,2006,female,75.757
arm,2007,female,75.88
arm,2008,female,76.027
arm,2009,female,76.206
arm,2010,female,76.415
arm,2011,female,76.644
arm,2012,female,76.874
arm,2013,female,77.091
arm,2014,female,77.292
arm,2015,female,77.474
arm,2016,female,77.64
atg,1960,female,64.167
atg,1961,female,64.593
atg,1962,female,65.012
atg,1963,female,65.425
atg,1964,female,65.832
atg,1965,female,66.231
atg,1966,female,66.622
atg,1967,female,67.005
atg,1968,female,67.378
atg,1969,female,67.743
atg,1970,female,68.098
atg,1971,female,68.444
atg,1972,female,68.781
atg,1973,female,69.112
atg,1974,female,69.435
atg,1975,female,69.752
atg,1976,female,70.063
atg,1977,female,70.366
atg,1978,female,70.663
atg,1979,female,70.954
atg,1980,female,71.239
atg,1981,female,71.517
atg,1982,female,71.79
atg,1983,female,72.057
atg,1984,female,72.318
atg,1985,female,72.574
atg,1986,female,72.826
atg,1987,female,73.073
atg,1988,female,73.316
atg,1989,female,73.555
atg,1990,female,73.79
atg,1991,female,74.022
atg,1992,female,74.251
atg,1993,female,74.476
atg,1994,female,74.697
atg,1995,female,74.914
atg,1996,female,75.128
atg,1997,female,75.338
atg,1998,female,75.545
atg,1999,female,75.747
atg,2000,female,75.947
atg,2001,female,76.144
atg,2002,female,76.338
atg,2003,female,76.53
atg,2004,female,76.719
atg,2005,female,76.906
atg,2006,female,77.091
atg,2007,female,77.273
atg,2008,female,77.452
atg,2009,female,77.628
atg,2010,female,77.8
atg,2011,female,77.967
atg,2012,female,78.129
atg,2013,female,78.287
atg,2014,female,78.44
atg,2015,female,78.59
atg,2016,female,78.738
aus,1960,female,74
aus,1961,female,74.2
aus,1962,female,74.2
aus,1963,female,74.2
aus,1964,female,74.2
aus,1965,female,74.2
aus,1966,female,74.2
aus,1967,female,74.26
aus,1968,female,74.32
aus,1969,female,74.38
aus,1970,female,74.44
aus,1971,female,74.5
aus,1972,female,74.92
aus,1973,female,75.34
aus,1974,female,75.76
aus,1975,female,76.18
aus,1976,female,76.6
aus,1977,female,76.94
aus,1978,female,77.28
aus,1979,female,77.62
aus,1980,female,77.96
aus,1981,female,78.3
aus,1982,female,78.48
aus,1983,female,78.66
aus,1984,female,78.84
aus,1985,female,79.02
aus,1986,female,79.2
aus,1987,female,79.44
aus,1988,female,79.68
aus,1989,female,79.92
aus,1990,female,80.16
aus,1991,female,80.4
aus,1992,female,80.4
aus,1993,female,80.9
aus,1994,female,80.9
aus,1995,female,80.8
aus,1996,female,81.1
aus,1997,female,81.4
aus,1998,female,81.5
aus,1999,female,81.8
aus,2000,female,82
aus,2001,female,82.4
aus,2002,female,82.6
aus,2003,female,82.8
aus,2004,female,83
aus,2005,female,83.3
aus,2006,female,83.5
aus,2007,female,83.7
aus,2008,female,83.7
aus,2009,female,83.9
aus,2010,female,84
aus,2011,female,84.2
aus,2012,female,84.3
aus,2013,female,84.3
aus,2014,female,84.4
aus,2015,female,84.5
aus,2016,female,84.6
aut,1960,female,71.92
aut,1961,female,72.84
aut,1962,female,72.48
aut,1963,female,72.65
aut,1964,female,73.2
aut,1965,female,72.99
aut,1966,female,73.37
aut,1967,female,73.37
aut,1968,female,73.52
aut,1969,female,73.27
aut,1970,female,73.5
aut,1971,female,73.7
aut,1972,female,74.1
aut,1973,female,74.6
aut,1974,female,74.7
aut,1975,female,74.7
aut,1976,female,75.1
aut,1977,female,75.5
aut,1978,female,75.7
aut,1979,female,76
aut,1980,female,76.1
aut,1981,female,76.5
aut,1982,female,76.7
aut,1983,female,76.7
aut,1984,female,77.3
aut,1985,female,77.4
aut,1986,female,77.8
aut,1987,female,78.2
aut,1988,female,78.7
aut,1989,female,78.8
aut,1990,female,79
aut,1991,female,79.1
aut,1992,female,79.3
aut,1993,female,79.5
aut,1994,female,79.8
aut,1995,female,80.1
aut,1996,female,80.2
aut,1997,female,80.7
aut,1998,female,81
aut,1999,female,81
aut,2000,female,81.2
aut,2001,female,81.7
aut,2002,female,81.7
aut,2003,female,81.5
aut,2004,female,82.1
aut,2005,female,82.2
aut,2006,female,82.8
aut,2007,female,83.1
aut,2008,female,83.3
aut,2009,female,83.2
aut,2010,female,83.5
aut,2011,female,83.8
aut,2012,female,83.6
aut,2013,female,83.8
aut,2014,female,84
aut,2015,female,83.7
aut,2016,female,83.4
aze,1960,female,64.168
aze,1961,female,64.403
aze,1962,female,64.629
aze,1963,female,64.852
aze,1964,female,65.074
aze,1965,female,65.299
aze,1966,female,65.527
aze,1967,female,65.753
aze,1968,female,65.972
aze,1969,female,66.182
aze,1970,female,66.376
aze,1971,female,66.55
aze,1972,female,66.702
aze,1973,female,66.833
aze,1974,female,66.943
aze,1975,female,67.035
aze,1976,female,67.112
aze,1977,female,67.183
aze,1978,female,67.252
aze,1979,female,67.328
aze,1980,female,67.416
aze,1981,female,67.526
aze,1982,female,67.656
aze,1983,female,67.805
