geo,time,POP,GDP,LEX,world_region
abw,1800,19286,833,34.42,americas
abw,2018,105670,39219,76.14,americas
afg,1800,3280000,603,28.21,asia
afg,2018,36373176,1867,58.69,asia
ago,1800,1567028,618,26.98,africa
ago,2018,30774205,5846,65.19,africa
aia,1800,2025,,,americas
aia,2018,15045,,,americas
alb,1800,410445,667,35.4,europe
alb,2018,2934363,12424,78.01,europe
and,1800,2654,1197,,europe
and,2018,76953,51494,,europe
ant,1800,34.41,,,americas
are,1800,40153,998,30.7,asia
are,2018,9541615,68231,76.89,asia
arg,1800,534000,1507,33.2,americas
arg,2018,44688864,18942,76.97,americas
arm,1800,413326,514,34,europe
arm,2018,2934152,8662,75.97,europe
asm,1800,8170,,,asia
asm,2018,55679,,,asia
atg,1800,37000,757,33.54,americas
atg,2018,103050,21035,77.6,americas
aus,1800,351014,814,34.05,asia
aus,2018,24772247,45783,82.87,asia
aut,1800,3205587,1847,34.4,europe
aut,2018,8751820,44645,81.84,europe
aze,1800,879960,775,29.17,europe
aze,2018,9923914,16552,72.3,europe
bdi,1800,899097,418,31.5,africa
bdi,2018,11216450,691,61.14,africa
bel,1800,3138137,2411,40,europe
bel,2018,11498519,42760,81.23,europe
ben,1800,636559,597,31,africa
ben,2018,11485674,2165,64.98,africa
bfa,1800,1665421,480,29.2,africa
bfa,2018,19751651,1710,61.6,africa
bgd,1800,19227358,876,25.5,asia
bgd,2018,166368149,3722,73.41,asia
bgr,1800,1992320,1088,35.8,europe
bgr,2018,7036848,18853,75.32,europe
bhr,1800,64474,1235,30.3,asia
bhr,2018,1566993,44330,77.18,asia
bhs,1800,27350,1445,35.18,americas
bhs,2018,399285,21920,74.1,americas
bih,1800,851806,669,35.1,europe
bih,2018,3503554,12052,77.93,europe
blr,1800,2355081,608,36.2,europe
blr,2018,9452113,17159,73.76,europe
blz,1800,25526,579,26.5,americas
blz,2018,382444,7710,72.45,americas
bmu,1800,9692,1227,,americas
bmu,2018,61070,42228,,americas
bol,1800,1100000,854,33,americas
bol,2018,11215674,6975,73.97,americas
bra,1800,3639636,1108,32,americas
bra,2018,210867954,14341,75.7,americas
brb,1800,81729,913,32.12,americas
brb,2018,286388,16037,76.84,americas
brn,1800,2128,1512,29.2,asia
brn,2018,434076,76943,77.36,asia
btn,1800,89989,629,28.8,asia
btn,2018,817054,9929,74.83,asia
bwa,1800,121000,397,33.6,africa
