geo,time,POP,GDP,LEX,world_region
abw,1800,19286,833,34.42,americas
afg,1800,3280000,603,28.21,asia
ago,1800,1567028,618,26.98,africa
aia,1800,2025,,,americas
alb,1800,410445,667,35.4,europe
and,1800,2654,1197,,europe
ant,1800,34.41,,,americas
are,1800,40153,998,30.7,asia
arg,1800,534000,1507,33.2,americas
arm,1800,413326,514,34,europe
asm,1800,8170,,,asia
atg,1800,37000,757,33.54,americas
aus,1800,351014,814,34.05,asia
aut,1800,3205587,1847,34.4,europe
aze,1800,879960,775,29.17,europe
bdi,1800,899097,418,31.5,africa
bel,1800,3138137,2411,40,europe
ben,1800,636559,597,31,africa
bfa,1800,1665421,480,29.2,africa
bgd,1800,19227358,876,25.5,asia
bgr,1800,1992320,1088,35.8,europe
bhr,1800,64474,1235,30.3,asia
bhs,1800,27350,1445,35.18,americas
bih,1800,851806,669,35.1,europe
blr,1800,2355081,608,36.2,europe
blz,1800,25526,579,26.5,americas
bmu,1800,9692,1227,,americas
bol,1800,1100000,854,33,americas
bra,1800,3639636,1108,32,americas
brb,1800,81729,913,32.12,americas
brn,1800,2128,1512,29.2,asia
btn,1800,89989,629,28.8,asia
bwa,1800,121000,397,33.6,africa
caf,1800,479444,424,30,africa
can,1800,645526,1313,39,americas
chanisl,1800,43908,,,europe
che,1800,1826051,2700,38,europe
chl,1800,771447,1026,32,americas
chn,1800,321675013,984,32,asia
civ,1800,1088530,812,31.16,africa
cmr,1800,1860054,626,28.75,africa
cod,1800,5163819,485,31.6,africa
cog,1800,314465,575,32.7,africa
cok,1800,16136,,,asia
col,1800,1206000,962,32,americas
com,1800,56346,696,32.1,africa
cpv,1800,55716,529,33.8,africa
cri,1800,51987,775,30.21,americas
cub,1800,345043,864,32.2,americas
cym,1800,2439,1039,,americas
cyp,1800,184392,853,38.5,europe
cze,1800,5516349,1915,34.95,europe
deu,1800,22886919,1639,38.37,europe
dji,1800,22848,752,29.9,africa
dma,1800,19950,663,,americas
dnk,1800,1062514,2012,37.41,europe
dom,1800,89000,667,29.9,americas
dza,1800,2503218,715,28.82,africa
ecu,1800,500000,529,32.9,americas
egy,1800,4243515,790,33,africa
eri,1800,205010,532,30.2,africa
esh,1800,2788,34.75,,africa
esp,1800,11549294,1517,29.5,europe
est,1800,334136,938,36.14,europe
eth,1800,2948990,523,29.7,africa
fin,1800,977662,1243,36.57,europe
fji,1800,130533,785,26.1,asia
flk,1800,100,,,americas
fra,1800,29355111,1802,33.97,europe
fro,1800,13537,,,europe
fsm,1800,16416,518,26.7,asia
gab,1800,158227,390,30.6,africa
gbm,1800,23533,,,europe
gbr,1800,12327466,3429,38.65,europe
geo,1800,1072178,543,31.87,europe
gha,1800,2016034,696,28,africa
gib,1800,9873,,,europe
gin,1800,983959,450,29.5,africa
glp,1800,80726,27.66,,americas
gmb,1800,103274,813,28.8,africa
gnb,1800,218167,777,32,africa
gnq,1800,80377,356,29.8,africa
grc,1800,2151155,1370,36.6,europe
grd,1800,29409,959,31.4,americas
grl,1800,9584,393,33.87,europe
gtm,1800,458965,857,25.8,americas
guf,1800,9899,30.5,,americas
gum,1800,6053,27.5,,asia
guy,1800,166034,1214,31.12,americas
hkg,1800,20000,1006,34.9,asia
hnd,1800,126118,675,33.9,americas
hos,1800,905,,,europe
hrv,1800,1227886,1078,36.1,europe
hti,1800,723000,633,29,americas
hun,1800,3499771,1248,36,europe
idn,1800,16108545,994,30,asia
ind,1800,168574895,1052,25.44,asia
irl,1800,4064749,1446,38.3,europe
irn,1800,6269721,976,25.6,asia
irq,1800,1076920,969,31.2,asia
isl,1800,61428,926,42.85,europe
isr,1800,209954,879,32,asia
ita,1800,18822234,2224,29.69,europe
jam,1800,401000,1170,34.2,americas
jor,1800,217000,976,31.7,asia
jpn,1800,30294378,1049,36.4,asia
kaz,1800,2041282,1140,26.2,asia
ken,1800,2574000,854,25.5,africa
kgz,1800,530343,508,23.94,asia
khm,1800,2090000,903,35,asia
kir,1800,17876,551,24.9,asia
kna,1800,17202,1164,,americas
kor,1800,9395000,575,25.8,asia
kwt,1800,81280,1097,26,asia
lao,1800,470000,864,31.9,asia
lbn,1800,332000,1081,29.7,asia
lbr,1800,313543,797,31.1,africa
lby,1800,531472,1050,33.1,africa
lca,1800,24000,874,28.01,americas
lie,1800,5802,,,europe
lka,1800,1213000,898,32.6,asia
lso,1800,276361,393,32.8,africa
ltu,1800,778655,1270,28.9,europe
lux,1800,127030,1453,36.9,europe
lva,1800,590588,751,33,europe
mac,1800,17311,992,34.7,asia
mar,1800,2503218,714,33.1,africa
mco,1800,7789,1948,,europe
mda,1800,712558,621,33.15,europe
mdg,1800,1543133,573,30.5,africa
mdv,1800,42378,842,32.65,asia
mex,1800,6181708,1378,26.9,americas
mhl,1800,5828,539,,asia
mkd,1800,391865,690,36.1,europe
mli,1800,1403398,603,26.41,africa
mlt,1800,134072,781,28.7,europe
mmr,1800,3506000,840,30.8,asia
mne,1800,126582,1057,35.4,europe
mng,1800,619000,592,31.8,asia
mnp,1800,3360,,,asia
moz,1800,1982324,390,30.28,africa
mrt,1800,382696,527,32,africa
msr,1800,5230,,,americas
mtq,1800,84039,30.15,,americas
mus,1800,62865,940,28.7,africa
mwi,1800,737000,350,30.3,africa
mys,1800,287000,997,30.6,asia
myt,1800,8219,32.5,,africa
nam,1800,229000,540,32.4,africa
ncl,1800,29432,26,,asia
ner,1800,1244861,446,30.8,africa
nga,1800,12100855,851,30.4,africa
nic,1800,219387,973,25.4,americas
niu,1800,4538,,,asia
nld,1800,2254522,4233,39.86,europe
nor,1800,868570,1277,37.92,europe
npl,1800,3881000,654,32.8,asia
nru,1800,1834,554,,asia
nzl,1800,100000,658,34.05,asia
omn,1800,318000,915,32.3,asia
pak,1800,13123633,1021,25.8,asia
pan,1800,78842,847,32.9,americas
per,1800,1314151,1203,35.7,americas
phl,1800,1894389,962,30.9,asia
plw,1800,3875,839,,asia
png,1800,754894,546,31.5,asia
pol,1800,9508747,1212,35.9,europe
pri,1800,155000,1375,30.43,americas
prk,1800,4345000,578,26,asia
prt,1800,3033454,1684,35.6,europe
pry,1800,143000,835,35.5,americas
pse,1800,165944,1220,32.1,asia
pyf,1800,62530,25.6,,asia
qat,1800,14092,1097,30.8,asia
reu,1800,92744,33,,africa
rou,1800,5464085,815,35.7,europe
rus,1800,31088398,1430,29.57,europe
rwa,1800,928368,431,31.8,africa
sau,1800,2091000,846,32.1,asia
sdn,1800,3994154,518,31.4,africa
sen,1800,1009886,497,25.2,africa
sgp,1800,30000,1021,29.1,asia
shn,1800,1997,,,africa
slb,1800,56998,363,25.1,asia
sle,1800,794264,734,25.1,africa
slv,1800,248000,974,28.7,americas
smr,1800,5492,1401,,europe
som,1800,991488,694,29.4,africa
spm,1800,1782,,,americas
srb,1800,2147197,1358,35.5,europe
ssd,1800,1027378,507,26.67,africa
stp,1800,22731,850,31,africa
sur,1800,80721,1636,32.9,americas
svk,1800,2140651,1427,36.4,europe
svn,1800,469664,1409,36.6,europe
swe,1800,2354189,1413,32.16,europe
swz,1800,86000,490,32.3,africa
syc,1800,12522,792,37,africa
syr,1800,1337000,1080,31.1,asia
tca,1800,3296,487,,americas
tcd,1800,1432000,418,30.9,africa
tgo,1800,445985,682,31.3,africa
tha,1800,4665000,931,30.4,asia
tjk,1800,466629,556,24.24,asia
tkl,1800,1009,,,asia
tkm,1800,367215,943,24,asia
tls,1800,137262,521,28.95,asia
ton,1800,18658,663,28.2,asia
tto,1800,60000,1230,32.9,americas
tun,1800,862029,715,28.8,africa
tur,1800,9773456,1221,35,europe
tuv,1800,2499,719,,asia
twn,1800,2000000,995,28.3,asia
tza,1800,3019768,562,32.2,africa
uga,1800,2101397,464,25.3,africa
ukr,1800,11215490,763,36.6,europe
ury,1800,55000,1757,32.9,americas
usa,1800,6801854,2127,39.41,americas
uzb,1800,1919159,502,26.93,asia
vct,1800,25781,838,25.99,americas
ven,1800,718000,682,32.2,americas
