geo,time,GDP,LEX,POP,world_region,category
afg,2010,1214.61,59.61,31411743,asia,country
alb,2010,6746.44,76.78,3204284,europe,country
dza,2010,6300.64,70.61,35468208,africa,country
ago,2010,5497.61,50.68,19081912,africa,country
atg,2010,13921.51,75.43,88710,americas,country
arg,2010,14486.63,75.77,40412376,americas,country
arm,2010,4598.93,74.29,3092072,europe,country
abw,2010,21868.81,75.05,107488,americas,country
aus,2010,34884.76,82.09,22268384,asia,country
aut,2010,35816.33,80.59,8393644,europe,country
aze,2010,9325.55,70.51,9187783,europe,country
bhs,2010,21022.7,74.75,342877,americas,country
bhr,2010,24012.8,76.2,1261835,asia,country
bgd,2010,1621.04,69.44,148692131,asia,country
brb,2010,16223.53,74.87,273331,americas,country
blr,2010,12490.18,69.61,9595421,europe,country
bel,2010,32832.33,80,10712066,europe,country
blz,2010,7271.49,73.24,311627,americas,country
ben,2010,1438.98,58.79,8849892,africa,country
btn,2010,5273.68,67.01,725940,asia,country
bol,2010,4095.21,66.36,9929849,americas,country
bih,2010,7596,75.89,3760149,europe,country
bwa,2010,13181.34,46.58,2006945,africa,country
bra,2010,10195.44,73.12,194946471,americas,country
chn,2010,7405.72,74.86,1341335156,asia,country
brn,2010,45460.87,77.95,398920,asia,country
bgr,2010,10990.43,73.24,7494332,europe,country
bfa,2010,1277.68,55.08,16468714,africa,country
bdi,2010,468.43,52.63,8382849,africa,country
khm,2010,1858.47,70.81,14138255,asia,country
cmr,2010,2017.81,53.71,19598889,africa,country
can,2010,35219.34,80.98,34016593,americas,country
cpv,2010,3655.83,74.09,495999,africa,country
caf,2010,701.65,48.13,4401051,africa,country
tcd,2010,1759.97,49.79,11227208,africa,country
chl,2010,14038.37,79.16,17113688,americas,country
col,2010,7417.8,73.42,46294841,americas,country
com,2010,1022.62,60.22,734750,africa,country
cod,2010,373.63,49.01,65965795,africa,country
cog,2010,4049.16,57.22,4042899,africa,country
cri,2010,10122.52,79.28,4658887,americas,country
civ,2010,1512.08,49.64,19737800,africa,country
hrv,2010,13615.8,76.54,4403330,europe,country
cub,2010,9626.11,78.73,11257979,americas,country
cyp,2010,24436.94,79.34,1103647,europe,country
cze,2010,22526.65,77.26,10492960,europe,country
dnk,2010,32828.74,78.96,5550142,europe,country
dji,2010,2165.76,60.3,888716,africa,country
dom,2010,6663.74,72.73,9927320,americas,country
ecu,2010,7182.7,75.64,14464739,americas,country
egy,2010,6059.97,70.47,81121077,africa,country
slv,2010,5677.27,71.88,6192993,americas,country
gnq,2010,13383.76,51.48,700401,africa,country
eri,2010,561.05,61.27,5253676,africa,country
est,2010,16865.75,74.09,1341140,europe,country
eth,2010,871.83,61.48,82949541,africa,country
fji,2010,4074.62,69.25,860623,asia,country
