geo,time,POP,GDP,LEX,world_region,
sgp,1800,30000,1021,29.1,asia,0
shn,1800,1997,,,africa,0
slb,1800,56998,363,25.1,asia,0
sle,1800,794264,734,25.1,africa,0
slv,1800,248000,974,28.7,americas,0
smr,1800,5492,1401,,europe,0
som,1800,991488,694,29.4,africa,0
spm,1800,1782,,,americas,0
srb,1800,2147197,1358,35.5,europe,0
ssd,1800,1027378,507,26.67,africa,0
stp,1800,22731,850,31,africa,0
sur,1800,80721,1636,32.9,americas,0
svk,1800,2140651,1427,36.4,europe,0
svn,1800,469664,1409,36.6,europe,0
swe,1800,2354189,1413,32.16,europe,0
swz,1800,86000,490,32.3,africa,0
syc,1800,12522,792,37,africa,0
syr,1800,1337000,1080,31.1,asia,0
tca,1800,3296,487,,americas,0
tcd,1800,1432000,418,30.9,africa,0
tgo,1800,445985,682,31.3,africa,0
tha,1800,4665000,931,30.4,asia,0
tjk,1800,466629,556,24.24,asia,0
tkl,1800,1009,,,asia,0
tkm,1800,367215,943,24,asia,0
tls,1800,137262,521,28.95,asia,0
ton,1800,18658,663,28.2,asia,0
tto,1800,60000,1230,32.9,americas,0
tun,1800,862029,715,28.8,africa,0
tur,1800,9773456,1221,35,europe,0
tuv,1800,2499,719,,asia,0
twn,1800,2000000,995,28.3,asia,0
tza,1800,3019768,562,32.2,africa,0
uga,1800,2101397,464,25.3,africa,0
ukr,1800,11215490,763,36.6,europe,0
ury,1800,55000,1757,32.9,americas,0
usa,1800,6801854,2127,39.41,americas,0
uzb,1800,1919159,502,26.93,asia,0
vct,1800,25781,838,25.99,americas,0
ven,1800,718000,682,32.2,americas,0
vgb,1800,6700,,,americas,0
vir,1800,40000,33.4,,americas,0
vnm,1800,6551000,861,32,asia,0
vut,1800,27791,585,24.3,asia,0
wlf,1800,3721,,,asia,0
wsm,1800,47300,1400,25.4,asia,0
yem,1800,2593000,877,23.39,asia,0
zaf,1800,1440820,1479,33.5,africa,0
zmb,1800,747000,663,32.6,africa,0
zwe,1800,1085814,869,33.7,africa,0
abw,1802,19286,833,34.42,americas,0
afg,1802,3280000,603,28.19,asia,0
ago,1802,1567028,623,26.98,africa,0
aia,1802,2025,,,americas,0
alb,1802,413026,667,35.4,europe,0
and,1802,2654,1201,,europe,0
ant,1802,34.41,,,americas,0
are,1802,40153,1005,30.7,asia,0
arg,1802,534000,1507,33.2,americas,0
arm,1802,413326,514,34,europe,0
asm,1802,8167,,,asia,0
atg,1802,37000,757,33.54,americas,0
aus,1802,349274,818,34.05,asia,0
aut,1802,3221565,1862,34.4,europe,0
aze,1802,879960,775,29.17,europe,0
bdi,1802,899097,419,31.5,africa,0
bel,1802,3166538,2412,40.02,europe,0
ben,1802,636559,597,31,africa,0
bfa,1802,1665421,480,29.2,africa,0
bgd,1802,19303260,876,25.5,asia,0
bgr,1802,2010981,1089,35.89,europe,0
bhr,1802,64474,1246,30.3,asia,0
bhs,1802,27350,1445,35.18,americas,0
bih,1802,851806,669,35.1,europe,0
blr,1802,2355081,608,36.2,europe,0
blz,1802,25526,579,26.5,americas,0
bmu,1802,9720,1228,,americas,0
bol,1802,1100000,854,33,americas,0
bra,1802,3718270,1109,32,americas,0
brb,1802,81729,914,32.12,americas,0
brn,1802,2128,1512,29.2,asia,0
btn,1802,89989,630,28.8,asia,0
bwa,1802,121000,397,33.6,africa,0
caf,1802,479444,424,30,africa,0
can,1802,660832,1330,39,americas,0
chanisl,1802,43908,,,europe,0
che,1802,1841448,2700,38,europe,0
chl,1802,771447,1026,32,americas,0
chn,1802,327165946,984,32,asia,0
civ,1802,1088530,819,31.16,africa,0
cmr,1802,1860054,626,28.75,africa,0
cod,1802,5163819,489,31.6,africa,0
cog,1802,314465,578,32.7,africa,0
cok,1802,16175,,,asia,0
col,1802,1206000,962,32,americas,0
com,1802,56346,697,32.1,africa,0
cpv,1802,55716,529,33.8,africa,0
cri,1802,53484,775,30.21,americas,0
cub,1802,366184,884,32.45,americas,0
cym,1802,2439,1039,,americas,0
cyp,1802,184432,854,38.5,europe,0
cze,1802,5516349,1916,34.95,europe,0
deu,1802,23081140,1662,38.37,europe,0
dji,1802,22848,757,29.9,africa,0
dma,1802,19950,663,,americas,0
dnk,1802,1071419,2019,44.37,europe,0
dom,1802,89000,667,29.9,americas,0
dza,1802,2521203,717,28.82,africa,0
ecu,1802,500000,529,32.9,americas,0
egy,1802,4238537,791,33,africa,0
eri,1802,205010,532,30.2,africa,0
esh,1802,2788,34.75,,africa,0
esp,1802,11613057,1517,29.5,europe,0
est,1802,334136,940,35.26,europe,0
eth,1802,2948990,523,29.7,africa,0
fin,1802,995294,1248,39.2,europe,0
fji,1802,130959,785,26.1,asia,0
flk,1802,100,,,americas,0
fra,1802,29539311,1809,34.38,europe,0
fro,1802,13537,,,europe,0
fsm,1802,16416,518,26.7,asia,0
gab,1802,158227,390,30.6,africa,0
gbm,1802,23533,,,europe,0
gbr,1802,12642258,3448,38.62,europe,0
geo,1802,1072178,543,31.87,europe,0
gha,1802,2016034,697,28,africa,0
gib,1802,9873,,,europe,0
gin,1802,983959,450,29.52,africa,0
glp,1802,80726,27.66,,americas,0
gmb,1802,103274,814,28.8,africa,0
gnb,1802,218167,777,32,africa,0
gnq,1802,80377,357,29.8,africa,0
grc,1802,2166723,1375,36.6,europe,0
grd,1802,29409,959,31.4,americas,0
grl,1802,9584,393,33.87,europe,0
gtm,1802,471035,857,25.8,americas,0
guf,1802,9899,30.5,,americas,0
gum,1802,6486,27.5,,asia,0
guy,1802,166034,1214,31.12,americas,0
hkg,1802,20000,1007,34.9,asia,0
hnd,1802,130258,675,33.9,americas,0
hos,1802,905,,,europe,0
hrv,1802,1227886,1098,36.1,europe,0
hti,1802,723000,634,29,americas,0
hun,1802,3559579,1249,36,europe,0
idn,1802,16192985,995,30,asia,0
ind,1802,169240359,1052,25,asia,0
irl,1802,4154147,1447,38.3,europe,0
irn,1802,6298161,977,25.6,asia,0
irq,1802,1078517,970,31.2,asia,0
isl,1802,61428,927,27.62,europe,0
isr,1802,209954,880,32,asia,0
ita,1802,18953419,2267,29.69,europe,0
jam,1802,401000,1170,34.2,americas,0
jor,1802,217000,976,31.7,asia,0
jpn,1802,30364211,1052,36.4,asia,0
kaz,1802,2041282,1142,26.2,asia,0
ken,1802,2574000,859,25.5,africa,0
kgz,1802,530343,508,23.94,asia,0
khm,1802,2090000,904,35,asia,0
kir,1802,17876,552,24.9,asia,0
kna,1802,17202,1165,,americas,0
kor,1802,9395000,574,25.8,asia,0
kwt,1802,81280,1105,26,asia,0
lao,1802,470000,865,31.9,asia,0
lbn,1802,332000,1082,29.7,asia,0
lbr,1802,313543,797,31.1,africa,0
lby,1802,532121,1050,33.1,africa,0
lca,1802,24000,875,28.01,americas,0
lie,1802,5802,,,europe,0
lka,1802,1213000,898,32.6,asia,0
lso,1802,276361,394,32.8,africa,0
ltu,1802,778655,1273,28.9,europe,0
lux,1802,127030,1453,36.9,europe,0
lva,1802,590588,753,33,europe,0
mac,1802,18022,993,34.7,asia,0
mar,1802,2521203,715,33.1,africa,0
mco,1802,7789,1953,,europe,0
mda,1802,712558,621,33.15,europe,0
mdg,1802,1556580,573,30.5,africa,0
mdv,1802,42378,843,32.65,asia,0
mex,1802,6221089,1379,26.9,americas,0
mhl,1802,5828,540,,asia,0
mkd,1802,391865,690,36.1,europe,0
mli,1802,1403398,603,26.41,africa,0
mlt,1802,134072,782,28.7,europe,0
mmr,1802,3506000,840,30.8,asia,0
mne,1802,126582,1058,35.4,europe,0
mng,1802,619000,592,31.8,asia,0
mnp,1802,3360,,,asia,0
moz,1802,1993408,391,30.28,africa,0
mrt,1802,382696,528,32,africa,0
msr,1802,5230,,,americas,0
mtq,1802,84039,30.15,,americas,0
mus,1802,65581,940,28.7,africa,0
mwi,1802,737000,350,30.3,africa,0
mys,1802,287000,997,30.6,asia,0
myt,1802,8219,32.5,,africa,0
nam,1802,229000,540,32.4,africa,0
ncl,1802,29432,26,,asia,0
ner,1802,1244861,446,30.8,africa,0
nga,1802,12100855,854,30.4,africa,0
nic,1802,219387,973,25.4,americas,0
niu,1802,4536,,,asia,0
nld,1802,2262250,4389,39.86,europe,0
nor,1802,878216,1282,38.37,europe,0
npl,1802,3881000,654,32.8,asia,0
nru,1802,1834,554,,asia,0
nzl,1802,100000,658,34.05,asia,0
omn,1802,318000,916,32.3,asia,0
pak,1802,13175440,1021,25.8,asia,0
pan,1802,78842,847,32.9,americas,0
per,1802,1314436,1204,35.7,americas,0
phl,1802,1894389,962,30.9,asia,0
plw,1802,3875,839,,asia,0
png,1802,754894,546,31.5,asia,0
pol,1802,9596718,1221,35.9,europe,0
pri,1802,162507,1376,30.43,americas,0
prk,1802,4345000,577,26,asia,0
prt,1802,3058832,1684,35.6,europe,0
pry,1802,143000,835,35.5,americas,0
pse,1802,165944,1220,32.1,asia,0
pyf,1802,62687,25.6,,asia,0
qat,1802,14092,1105,30.8,asia,0
reu,1802,92744,33,,africa,0
rou,1802,5550205,815,35.7,europe,0
rus,1802,31088398,1433,29.57,europe,0
rwa,1802,928368,432,25,africa,0
sau,1802,2091000,847,32.1,asia,0
sdn,1802,4004723,518,31.4,africa,0
sen,1802,1009886,497,25.2,africa,0
sgp,1802,30000,1021,29.1,asia,0
shn,1802,1997,,,africa,0
slb,1802,56998,363,25.1,asia,0
sle,1802,794264,734,25.1,africa,0
slv,1802,248000,975,28.7,americas,0
smr,1802,5492,1406,,europe,0
som,1802,992336,695,29.4,africa,0
spm,1802,1782,,,americas,0
srb,1802,2147197,1358,35.5,europe,0
ssd,1802,1030097,507,26.67,africa,0
stp,1802,22731,853,31,africa,0
sur,1802,80721,1637,32.9,americas,0
svk,1802,2140651,1427,36.4,europe,0
svn,1802,469664,1409,36.6,europe,0
swe,1802,2360724,1466,40.2,europe,0
swz,1802,86000,490,32.3,africa,0
syc,1802,12522,798,37,africa,0
syr,1802,1337000,1081,31.1,asia,0
tca,1802,3296,487,,americas,0
tcd,1802,1432000,418,30.9,africa,0
tgo,1802,445985,683,31.3,africa,0
tha,1802,4665000,931,30.4,asia,0
tjk,1802,466629,557,24.24,asia,0
tkl,1802,1009,,,asia,0
tkm,1802,367215,945,24,asia,0
tls,1802,137262,523,28.95,asia,0
ton,1802,18651,663,28.2,asia,0
tto,1802,60000,1231,32.9,americas,0
tun,1802,863317,716,28.8,africa,0
tur,1802,9803102,1221,35,europe,0
tuv,1802,2499,719,,asia,0
twn,1802,2000000,996,28.3,asia,0
tza,1802,3019768,562,32.2,africa,0
uga,1802,2101397,464,25.3,africa,0
ukr,1802,11215490,765,36.6,europe,0
ury,1802,55000,1757,32.9,americas,0
usa,1802,7067728,2202,39.41,americas,0
uzb,1802,1919159,502,26.93,asia,0
vct,1802,25781,838,25.99,americas,0
ven,1802,718000,682,32.2,americas,0
vgb,1802,6700,,,americas,0
vir,1802,40000,33.4,,americas,0
vnm,1802,6551000,861,32,asia,0
