geo,time,GDP,LEX,POP,world_region,category
cze,1990,16270.17,71.49,10302718,europe,country
cze,2014,22913.18,77.83,10611300,europe,country
_csk,1990,,,15572130,,country
_csk,2014,,,,,country
dnk,1990,25208.56,74.92,5141034,europe,country
dnk,2014,33270.37,79.52,5628958,europe,country
dji,1990,2487.04,56.67,562290,africa,country
dji,2014,2340.03,62.25,957625,africa,country
dma,1990,6841.11,,70926,americas,country
dma,2014,10513.19,,67750,americas,country
dom,1990,2948.11,67.85,7194666,americas,country
dom,2014,7119.84,73.62,10431820,americas,country
_ddr,1990,,,16111000,,country
_ddr,2014,,,,,country
ecu,1990,6842.3,68.83,10260587,americas,country
ecu,2014,8327.25,76.74,15255149,americas,country
egy,1990,3976.21,64.6,56843275,africa,country
egy,2014,6088.21,71.37,86787634,africa,country
slv,1990,4167.26,65.9,5332842,americas,country
slv,2014,5970.81,72.83,6342991,americas,country
gnq,1990,1027.7,46.52,373887,africa,country
gnq,2014,12422.56,53.53,781773,africa,country
eri,1990,476.62,48.24,3158295,africa,country
eri,2014,611,63.36,5914510,africa,country
_eae,1990,,,51193511,,country
_eae,2014,,,,,country
est,1990,10389.81,69.9,1567631,europe,country
est,2014,20038.13,74.55,1337821,europe,country
eth,1990,524.73,46.94,48333261,africa,country
eth,2014,1036.99,64.22,90178951,africa,country
fro,1990,,,47558,europe,country
fro,2014,,,49585,europe,country
flk,1990,,,1993,americas,country
flk,2014,,,3053,americas,country
fji,1990,3280.61,65.51,728390,asia,country
fji,2014,4332.07,69.99,889587,asia,country
fin,1990,23180.78,75.04,4986441,europe,country
fin,2014,31789.09,80.69,5434241,europe,country
fra,1990,24676.73,76.98,56708260,europe,country
fra,2014,29863.96,81.95,64101308,europe,country
guf,1990,7210.63,71.93,117038,americas,country
guf,2014,,77.35,255738,americas,country
pyf,1990,23649.59,68.7,195383,asia,country
pyf,2014,,76.46,282482,asia,country
gab,1990,13944.56,61.35,929044,africa,country
gab,2014,15252.1,63.83,1625091,africa,country
gmb,1990,673.87,52.14,966151,africa,country
gmb,2014,836.81,59.04,1924758,africa,country
geo,1990,5375.31,70.26,5459999,europe,country
geo,2014,5511.45,74.44,4251727,europe,country
deu,1990,24996.14,75.39,79098094,europe,country
deu,2014,34980.38,80.9,81625599,europe,country
gha,1990,893.8,56.75,14793415,africa,country
gha,2014,1876.89,61.28,26721130,africa,country
gib,1990,,,26830,europe,country
gib,2014,,,29341,europe,country
grc,1990,16851.56,76.58,10160501,europe,country
grc,2014,21122.32,80.94,11470255,europe,country
grl,1990,28204.28,,55552,europe,country
grl,2014,,,57294,europe,country
grd,1990,5839.91,68.6,96200,americas,country
grd,2014,8605.96,72.89,106130,americas,country
glp,1990,3510.82,73.71,386465,americas,country
glp,2014,,81.18,469273,americas,country
gum,1990,,71.92,133914,asia,country
gum,2014,,79.12,188786,asia,country
gtm,1990,4328.93,62.16,8923131,americas,country
gtm,2014,5378.86,72.41,15924031,americas,country
gbg,1990,33341.73,,62623,europe,country
gbg,2014,,,,europe,country
gin,1990,834.47,49.95,5759374,africa,country
gin,2014,1010.9,56.36,11034203,africa,country
gnb,1990,740.35,49.07,1016695,africa,country
gnb,2014,653.33,54.52,1646870,africa,country
guy,1990,1958.99,62.03,724931,americas,country
guy,2014,4740.96,66.45,760972,americas,country
hti,1990,1742.98,54.46,7124877,americas,country
hti,2014,1329,63.41,10521433,americas,country
hos,1990,,,770,europe,country
hos,2014,,,460,europe,country
hnd,1990,3004.97,66.68,4889311,americas,country
hnd,2014,3690.96,74.11,8231762,americas,country
hkg,1990,22536.16,77.52,5793857,asia,country
hkg,2014,46337.77,83.55,7352945,asia,country
hun,1990,12308.9,69.41,10376320,europe,country
hun,2014,17335.19,74.75,9918377,europe,country
isl,1990,26372.87,77.98,254793,europe,country
isl,2014,35377.93,82.21,335631,europe,country
ind,1990,1160.34,58.51,873785447,asia,country
ind,2014,3531.51,66.65,1291780156,asia,country
idn,1990,2097.69,63.46,184345938,asia,country
idn,2014,4815.25,71.03,249563467,asia,country
irn,1990,6332.06,63.37,54870583,asia,country
irn,2014,11992.57,74.35,77176386,asia,country
irq,1990,7525.13,68.34,17373767,asia,country
irq,2014,4623.1,69.64,35870865,asia,country
irl,1990,16904.61,74.98,3531219,europe,country
irl,2014,36599.4,80.88,4682042,europe,country
gbm,1990,17361.57,,70313,europe,country
gbm,2014,,,84453,europe,country
isr,1990,17495.14,77.08,4499949,asia,country
isr,2014,28159.28,81.95,7939745,asia,country
ita,1990,21561.42,77.06,56832330,europe,country
ita,2014,25423.23,82.53,61175248,europe,country
jam,1990,7296.54,70.7,2364909,americas,country
jam,2014,7014.33,73.69,2780689,americas,country
jpn,1990,25870.13,79.04,122251184,asia,country
jpn,2014,32357.49,83.73,126225259,asia,country
jey,1990,,,83609,europe,country
jey,2014,,,,europe,country
jor,1990,3399.09,69.87,3415567,asia,country
jor,2014,5353.64,74,6684319,asia,country
kaz,1990,7085.49,66.77,16530000,asia,country
kaz,2014,13092.78,66.68,16718609,asia,country
ken,1990,1428.99,59.11,23447177,africa,country
ken,2014,1612.22,62.2,45121040,africa,country
kir,1990,2328.89,60.67,71835,asia,country
kir,2014,3101.73,69.21,105859,asia,country
prk,1990,3372.76,69.89,20143212,asia,country
prk,2014,,70.28,24754262,asia,country
kor,1990,9764.39,71.72,42980365,asia,country
kor,2014,27736.45,81.77,48951680,asia,country
_unk,1990,7681,,1670808,,country
_unk,2014,,,,,country
kwt,1990,22095.96,72.08,2087687,asia,country
kwt,2014,41481.02,74.39,3023402,asia,country
kgz,1990,2539.18,66.34,4394502,asia,country
kgz,2014,2350.54,67.69,5561968,asia,country
lao,1990,1172.37,54.15,4192414,asia,country
lao,2014,3176.97,68.74,6543484,asia,country
lva,1990,10217.78,69.46,2663905,europe,country
lva,2014,17005.82,72.25,2218123,europe,country
lbn,1990,2984.65,70.22,2948372,asia,country
lbn,2014,14174.72,80.3,4355504,asia,country
lso,1990,940.26,59.44,1639177,africa,country
lso,2014,2093.66,49.81,2263367,africa,country
lbr,1990,556.51,47.18,2127098,africa,country
lbr,2014,537.46,60.88,4450850,africa,country
lby,1990,11069.6,68.45,4334459,africa,country
lby,2014,11657.23,75.52,6547972,africa,country
lie,1990,53502.64,,28986,europe,country
lie,2014,,,37161,europe,country
ltu,1990,13148.25,71.37,3695890,europe,country
ltu,2014,19902.05,72.27,3264812,europe,country
lux,1990,42467.63,75.39,381225,europe,country
lux,2014,67005.89,80.71,536427,europe,country
mac,1990,20495.49,75.36,359709,asia,country
mac,2014,,80.61,590061,asia,country
mkd,1990,7526.78,71.14,1909353,europe,country
mkd,2014,9341.6,75.35,2071178,europe,country
mdg,1990,1163.03,51,11280625,africa,country
mdg,2014,994.85,65.15,23196155,africa,country
mwi,1990,602.71,47.17,9380892,africa,country
mwi,2014,896.53,55.75,16953614,africa,country
mys,1990,6386.01,70.74,18208562,asia,country
mys,2014,15182.12,75.19,30252089,asia,country
mdv,1990,2099.76,60.63,219474,asia,country
mdv,2014,6313.72,78.26,332752,asia,country
mli,1990,716.22,46.46,8672868,africa,country
mli,2014,1121.61,55.43,17308179,africa,country
mlt,1990,13494.44,75.3,367524,europe,country
mlt,2014,23106.76,79.92,421844,europe,country
mhl,1990,7462.28,,47288,asia,country
mhl,2014,6387.72,,57655,asia,country
mtq,1990,11068.34,74.78,359377,americas,country
mtq,2014,,81.63,410322,americas,country
mrt,1990,1393.45,58.44,1995548,africa,country
mrt,2014,2028.17,61.7,3786430,africa,country
mus,1990,5547.92,69.42,1059548,africa,country
mus,2014,14009.98,73.77,1327488,africa,country
myt,1990,,72.14,92413,africa,country
myt,2014,,79.42,230670,africa,country
mex,1990,9103.39,70.83,84306602,americas,country
mex,2014,12607.6,77.71,118783265,americas,country
fsm,1990,5408.7,66.21,96319,asia,country
fsm,2014,5873.6,69.1,113415,asia,country
mda,1990,4903.82,67.64,4363950,europe,country
mda,2014,3211.73,69.01,3473640,europe,country
mco,1990,31717.2,,30896,europe,country
mco,2014,,,35466,europe,country
mng,1990,2268.59,60.26,2192553,asia,country
mng,2014,5312.13,67.71,2931566,asia,country
mne,1990,10455.66,74.48,608816,europe,country
mne,2014,10322.2,74.92,633506,europe,country
msr,1990,15305.61,,10714,americas,country
msr,2014,,,6153,americas,country
mar,1990,3002.1,64.76,24781105,africa,country
mar,2014,4846.16,71.16,33250406,africa,country
moz,1990,443.23,43.64,13547076,africa,country
moz,2014,1191.02,50.57,25590335,africa,country
mmr,1990,887.18,58.74,39268304,asia,country
mmr,2014,1806.7,65.34,49514208,asia,country
nam,1990,3472.39,61.3,1414830,africa,country
nam,2014,5895.44,64.82,2444050,africa,country
nru,1990,12878.75,,9157,asia,country
nru,2014,,,10502,asia,country
npl,1990,852.68,55.05,19081064,asia,country
npl,2014,1312.15,68.81,32058733,asia,country
nld,1990,24902.12,77.05,14891719,europe,country
nld,2014,36223.84,81.17,16806723,europe,country
ant,1990,18834.42,74.53,190539,americas,country
ant,2014,,77.01,206981,americas,country
ncl,1990,36179.11,70.7,169689,asia,country
ncl,2014,,76.52,266398,asia,country
nzl,1990,18833.59,75.56,3397983,asia,country
nzl,2014,26162.03,81.28,4554858,asia,country
nic,1990,2355.46,64.13,4120797,americas,country
nic,2014,3251.28,75.15,6128318,americas,country
ner,1990,640.59,43.96,7788198,africa,country
ner,2014,751.32,58.88,17857866,africa,country
nga,1990,1571.11,46.11,97552057,africa,country
nga,2014,2698.23,52.89,175288238,africa,country
niu,1990,,,2333,asia,country
niu,2014,,,1310,asia,country
nfk,1990,,,1925,asia,country
nfk,2014,,,,asia,country
_ncy,1990,,,,,country
_ncy,2014,,,,,country
mnp,1990,6497.34,,43973,asia,country
mnp,2014,,,65135,asia,country
nor,1990,31161.75,76.41,4241485,europe,country
nor,2014,48537.85,81.63,5022555,europe,country
omn,1990,17485.61,67.17,1868055,asia,country
omn,2014,26602.78,76.8,3008301,asia,country
pak,1990,1825.99,61.14,111844679,asia,country
pak,2014,2753.47,66.71,186428686,asia,country
plw,1990,15994.63,,15089,asia,country
plw,2014,,,21101,asia,country
pan,1990,5834.19,73,2415926,americas,country
pan,2014,15344.93,77.76,3731059,americas,country
png,1990,1588.26,55.57,4157654,asia,country
png,2014,2510.23,62.55,7485612,asia,country
pry,1990,4261.1,68.01,4243860,americas,country
pry,2014,4985.23,72.34,6913774,americas,country
per,1990,4564.33,65.53,21685537,americas,country
per,2014,10149.49,75.12,30418591,americas,country
phl,1990,2386.9,65.21,61628668,asia,country
phl,2014,3961.51,68.86,99765288,asia,country
pcn,1990,,,65,asia,country
pcn,2014,,,,asia,country
pol,1990,8172.11,70.75,38056174,europe,country
pol,2014,18141.85,76.57,38344752,europe,country
prt,1990,15369.31,74.25,9925477,europe,country
prt,2014,19194.3,80.15,10705265,europe,country
pri,1990,13873.72,74.17,3528815,americas,country
pri,2014,,79.04,3742016,americas,country
qat,1990,40510.84,75.21,473722,asia,country
qat,2014,93454.45,78.51,2003449,asia,country
reu,1990,5980.27,72.69,612034,africa,country
reu,2014,,79.88,884221,africa,country
rou,1990,8281.62,69.52,23206719,europe,country
rou,2014,11501.25,73.94,21289792,europe,country
rus,1990,12633.27,69.36,148243501,europe,country
rus,2014,16664.47,68.08,142400066,europe,country
rwa,1990,760.74,48.52,7109538,africa,country
rwa,2014,1353.84,64.53,11950332,africa,country
_stb,1990,,,5038,,country
_stb,2014,,,,,country
shn,1990,2181.22,,5537,africa,country
shn,2014,,,3949,africa,country
kna,1990,9421.67,,40731,americas,country
kna,2014,12796.04,,54971,americas,country
lca,1990,7476.5,71.1,138042,americas,country
lca,2014,10755.91,74.92,181202,americas,country
_stm,1990,,,24969,,country
_stm,2014,,,,,country
vct,1990,4587.14,70.14,107449,americas,country
vct,2014,7172.84,72.58,109344,americas,country
spm,1990,,,6279,americas,country
spm,2014,,,6044,americas,country
wsm,1990,3491.92,64.85,161308,asia,country
wsm,2014,5226.71,73.44,186674,asia,country
smr,1990,26386.74,,24134,europe,country
smr,2014,,,32353,europe,country
stp,1990,1497,61.8,116117,africa,country
stp,2014,2051.03,66.46,178941,africa,country
sau,1990,23520.95,68.96,16139053,asia,country
sau,2014,27363.48,75.69,29929474,asia,country
sen,1990,1423.27,57.2,7241573,africa,country
sen,2014,1808.75,63.6,13805433,africa,country
srb,1990,14143.66,71.5,9568744,europe,country
srb,2014,9713.28,74.18,9821299,europe,country
scg,1990,,,9935057,europe,country
scg,2014,,,,europe,country
_srbek,1990,,,7897937,,country
_srbek,2014,,,,,country
syc,1990,11946.77,70.84,71031,africa,country
syc,2014,18068.98,73.35,87671,africa,country
sle,1990,1297.16,37.35,3981567,africa,country
sle,2014,1363.51,45.79,6384066,africa,country
sgp,1990,23142.79,76.04,3016624,asia,country
sgp,2014,51163.89,82.48,5336859,asia,country
svk,1990,12007.54,70.83,5270072,europe,country
svk,2014,21602.18,75.52,5497156,europe,country
svn,1990,16645.76,73.86,1926701,europe,country
svn,2014,23743.65,79.74,2049112,europe,country
slb,1990,1870.12,56.66,309527,asia,country
slb,2014,2088.79,67.88,595210,asia,country
som,1990,1106.42,45.4,6599249,africa,country
som,2014,,55.38,10322712,africa,country
_sol,1990,,,,,country
_sol,2014,,,,,country
zaf,1990,7786.87,62.09,36793907,africa,country
zaf,2014,10022.52,57.36,51207132,africa,country
_sos,1990,,,,,country
_sos,2014,,,,,country
ssd,1990,1412.62,43.52,5420563,africa,country
ssd,2014,2714.38,55.85,11384393,africa,country
esp,1990,18064.91,76.99,38889158,europe,country
esp,2014,26333.63,82.24,47290504,europe,country
lka,1990,2019.4,69.53,17337048,asia,country
lka,2014,5798.81,74.47,21555851,asia,country
sdn,1990,1405.31,55.52,21073606,africa,country
sdn,2014,2875.19,62.23,36554335,africa,country
sur,1990,5863.39,67.39,406890,americas,country
sur,2014,9541.19,71.23,543497,americas,country
sjm,1990,,,3544,europe,country
sjm,2014,,,,europe,country
swz,1990,3722.54,59.45,862947,africa,country
swz,2014,4877.12,49,1253525,africa,country
swe,1990,24253.27,77.67,8558829,europe,country
swe,2014,35224.88,81.94,9595619,europe,country
che,1990,32875.77,77.44,6673738,europe,country
che,2014,38379.52,82.73,7788196,europe,country
syr,1990,3180.5,70.25,12324116,asia,country
syr,2014,,74.64,21823405,asia,country
twn,1990,14123.43,73.76,20278000,asia,country
twn,2014,34842.17,,23184000,asia,country
tjk,1990,3377.86,62.92,5303152,asia,country
tjk,2014,2123.94,67.37,7290752,asia,country
tza,1990,850.8,50.49,25478979,africa,country
tza,2014,1466.03,62.05,50705390,africa,country
tha,1990,4039.67,70.43,57072058,asia,country
tha,2014,9244.16,74.58,70571185,asia,country
tls,1990,2257.72,48.43,743145,asia,country
tls,2014,4003.38,68.01,1261910,asia,country
tgo,1990,1160.13,55.88,3665509,africa,country
tgo,2014,1035.08,56.86,6543071,africa,country
tkl,1990,,,1609,asia,country
tkl,2014,,,1145,asia,country
ton,1990,3867.01,69.6,95150,asia,country
ton,2014,5053.35,72.83,105714,asia,country
_tra,1990,,,,,country
_tra,2014,,,,,country
tto,1990,7113.56,68,1215494,americas,country
tto,2014,17822.62,69.96,1359308,americas,country
tun,1990,4017.21,68.77,8215111,africa,country
tun,2014,8070.77,76.1,10920693,africa,country
tur,1990,5807.68,64.25,54130268,europe,country
tur,2014,9727.59,75.57,76190381,europe,country
tkm,1990,5132.07,62.77,3668000,asia,country
tkm,2014,8921.11,65.6,5299717,asia,country
tca,1990,17910.36,,11549,americas,country
tca,2014,,,40479,americas,country
tuv,1990,3169.17,,9004,asia,country
tuv,2014,,,9913,asia,country
uga,1990,661.3,47.51,17699717,africa,country
uga,2014,1305.65,59.66,37923329,africa,country
ukr,1990,8123.2,70.46,51644914,europe,country
ukr,2014,6634.67,68.63,44457736,europe,country
are,1990,32431.22,71.48,1808642,asia,country
are,2014,32209.08,77.01,8277632,asia,country
gbr,1990,22225.23,75.89,57214474,europe,country
gbr,2014,31483.79,80.69,63556184,europe,country
usa,1990,33710.38,75.4,253339096,americas,country
usa,2014,43584.56,79.08,321197444,americas,country
ury,1990,7466.41,72.57,3109122,americas,country
ury,2014,14128.04,77.37,3415252,americas,country
_ussr,1990,,,288544754,,country
_ussr,2014,,,,,country
uzb,1990,1993.42,66.82,20515248,asia,country
uzb,2014,3468.54,68.36,28725263,asia,country
wlf,1990,2440.21,,13882,asia,country
wlf,2014,,,13192,asia,country
vut,1990,3281.56,63.07,146636,asia,country
vut,2014,4096.32,71.9,264026,asia,country
ven,1990,9701.14,71.08,19685177,americas,country
ven,2014,11587.88,74.79,30786062,americas,country
pse,1990,5635.47,68.07,2081424,asia,country
pse,2014,,73.38,4519541,asia,country
_brd,1990,,,63254000,,country
_brd,2014,,,,,country
esh,1990,,57.58,220794,africa,country
esh,2014,,68.04,604355,africa,country
vnm,1990,893.88,70.64,67101583,asia,country
vnm,2014,3323.69,76.09,91562821,asia,country
vir,1990,,74.73,103253,americas,country
vir,2014,,80.37,107991,americas,country
_noy,1990,,,9632403,,country
_noy,2014,,,,,country
_soy,1990,,,2681173,,country
_soy,2014,,,,,country
yem,1990,1923.29,57.87,11948209,asia,country
yem,2014,2120.34,63.29,27162547,asia,country
_yug,1990,,71.42,22719621,,country
_yug,2014,,,,,country
zmb,1990,1299.99,43.84,7860053,africa,country
zmb,2014,1720.96,59.04,14767550,africa,country
zwe,1990,761.5,59.15,10469202,africa,country
zwe,2014,591.96,61.16,13665123,africa,country
ala,1990,,,24604,europe,country
ala,2014,,,,europe,country
_ngo,1990,,,,,country
_ngo,2014,,,,,country
